date,close,velocity,acceleration,reversal_binary,volume,percent_change
9/16/2024,226.78,-3.50999,-3.98998,1,54323000,-1.099
9/17/2024,227.87,1.0900000000000034,4.599989999999991,1,66761600,-0.6886
9/18/2024,227.2,-0.67,-1.76,1,78010200,-1.25603
9/19/2024,243.92,16.72,17.390000000000015,1,102694600,4.23932
9/20/2024,238.25,-5.67,-22.39,1,99879100,-1.35393
9/23/2024,250,11.75,17.419999999999987,1,86927200,3.04604
9/24/2024,254.27,4.27,-7.48,0,88491000,0.07478
9/25/2024,257.01999,2.749989999999997,-1.52001,0,65034300,1.77397
9/26/2024,254.22,-2.79999,-5.54998,1,67142200,-2.4482
9/27/2024,260.45999,6.239990000000006,9.039980000000014,1,70988100,1.19667
9/30/2024,261.63,1.1700099999999907,-5.06998,0,80705700,0.99984
10/1/2024,258.01999,-3.61001,-4.78002,1,87397600,-1.77029
10/2/2024,249.02,-8.99999,-5.38998,0,93983900,0.59382
10/3/2024,240.66,-8.36,0.6399899999999832,0,80729200,-1.5625
10/4/2024,250.08,9.420000000000016,17.78000000000003,1,86573200,1.37419
10/7/2024,240.83,-9.25,-18.67,1,68113300,-3.28112
10/8/2024,244.5,3.6699999999999875,12.919999999999987,1,56303200,0.38594
10/9/2024,241.05,-3.45,-7.12,1,66289500,-1.13609
10/10/2024,238.77,-2.28,1.1699999999999875,0,83087100,-1.25718
10/11/2024,217.8,-20.97,-18.69,0,142628900,-1.05847
10/14/2024,219.16,1.3599999999999852,22.329999999999984,1,86291900,-0.44065
10/15/2024,219.57001,0.41000999999999976,-0.94999,0,62988800,-0.19999
10/16/2024,221.33,1.7599900000000162,1.3499800000000164,0,49632800,-0.03161
10/17/2024,220.89,-0.44,-2.19999,1,50791800,-0.3159
10/18/2024,220.7,-0.19,0.2500000000000284,0,49611900,-0.00454
10/21/2024,218.85001,-1.84999,-1.65999,0,47329000,-0.02284
10/22/2024,217.97,-0.88001,0.9699799999999925,0,43268700,0.30372
10/23/2024,213.64999,-4.32001,-3.44,0,80938900,-1.60273
10/24/2024,260.48001,46.83001999999999,51.15002999999999,1,204491900,6.45742
10/25/2024,269.19,8.709990000000005,-38.12003,0,161611900,5.14823
10/28/2024,262.51001,-6.67999,-15.38998,1,107653600,-2.77407
10/29/2024,259.51999,-2.99002,3.68997,0,80521800,-1.88651
10/30/2024,257.54999,-1.97,1.0200199999999882,0,53993600,-0.1899
10/31/2024,249.85001,-7.69998,-5.72998,0,66575300,-3.15516
11/1/2024,248.98,-0.87001,6.829969999999975,0,57544800,-1.21409
11/4/2024,242.84,-6.14,-5.26999,0,68802400,-0.7033
11/5/2024,251.44,8.599999999999994,14.73999999999998,1,69282500,1.65764
11/6/2024,288.53,37.089999999999975,28.48999999999998,0,165228700,1.35595
11/7/2024,296.91,8.380000000000052,-28.71,0,117309200,2.77614
11/8/2024,321.22,24.310000000000002,15.92999999999995,0,204782800,7.38115
11/11/2024,350,28.779999999999973,4.47,0,210521600,1.06844
11/12/2024,328.48999,-21.51001,-50.29001,1,155726000,-4.15767
11/13/2024,330.23999,1.75,23.260010000000023,1,125405600,-1.67039
11/14/2024,311.17999,-19.06,-20.81,1,120726100,-5.0383
11/15/2024,320.72,9.540010000000052,28.600010000000054,1,114440300,3.26818
11/18/2024,338.73999,18.01998999999995,8.479979999999898,0,126547500,-0.58405
11/19/2024,346,7.2600100000000225,-10.75998,0,88852500,3.04979
11/20/2024,342.03,-3.97,-11.23001,1,66340700,-0.86087
11/21/2024,339.64001,-2.38999,1.5800100000000725,0,58011700,-1.21287
11/22/2024,352.56,12.919989999999984,15.309979999999939,1,89140700,3.36275
11/25/2024,338.59,-13.97,-26.88999,1,95890900,-5.98379
11/26/2024,338.23001,-0.35999,13.610010000000045,0,62295900,-0.81231
11/27/2024,332.89001,-5.34,-4.98001,0,57896400,-2.60678
11/29/2024,345.16,12.269990000000007,17.609989999999982,1,37167600,2.70174
12/2/2024,357.09,11.92999999999995,-0.33999,0,77986500,1.33662
12/3/2024,351.42001,-5.66999,-17.59999,1,58267200,-0.10801
12/4/2024,357.92999,6.509979999999985,12.179969999999969,1,50810900,1.3966
12/5/2024,369.48999,11.560000000000002,5.050020000000018,0,81403600,2.67319
12/6/2024,389.22,19.73001000000005,8.170010000000048,0,81455800,3.12649
12/9/2024,389.79001,0.5700099999999679,-19.16,0,96359200,-1.96675
12/10/2024,400.98999,11.199979999999982,10.629970000000014,0,97563600,2.11623
12/11/2024,424.76999,23.78000000000003,12.580020000000047,0,104287600,3.6783
12/12/2024,418.10001,-6.66998,-30.44998,1,87752200,-1.58648
12/13/2024,436.23001,18.129999999999995,24.799980000000005,1,89000200,3.86429
12/16/2024,463.01999,26.789980000000014,8.659980000000019,0,114083800,4.97177
12/17/2024,479.85999,16.839999999999975,-9.94998,0,131223000,0.83211
12/18/2024,440.13,-39.72999,-56.56999,1,149340800,-5.65273
12/19/2024,436.17001,-3.95999,35.76999999999998,0,118566100,-3.47658
12/20/2024,421.06,-15.11001,-11.15002,0,132216200,-1.04581
12/23/2024,430.60001,9.540009999999995,24.650019999999984,1,72698100,-0.09281
12/24/2024,462.28,31.679989999999975,22.13997999999998,0,59551800,6.05185
12/26/2024,454.13,-8.15,-39.82999,1,76366400,-2.37123
12/27/2024,431.66,-22.47,-14.32,0,82666800,-3.97312
12/30/2024,417.41,-14.25,8.22,0,64941000,-0.47449
12/31/2024,403.84,-13.57,0.68,0,76825100,-4.70752
1/2/2025,379.28,-24.56,-10.99,0,109710700,-2.77365
1/3/2025,410.44,31.160000000000025,55.72000000000003,1,95423300,7.59148
